Material,MaterialCode,Quantity,UOM,LastUpdated,Notes
Base Oil,BASE-150,7814.799999998999,Gal,07-17-2026,Line 2 – 4 Seasons Oil 5W20
Charcoal Lighter Fluid,CHAR-GAL,15712.400000000009,Gal,06-01-2026,Line 6 – Quick Lite
Chlorine (Sodium Hypochlorite),CHLR-BULK-GAL,13200.0,Gal,5-8-2026,
DEF Bulk,GEF030,9593.734999999999,Gal,07-11-2026,Line 4 – Drum DEF
Ethanol,ETHANOL-BULK,16582.0,Gal,07-15-2026,
Methanol,BULK-MET,33110.33239999999,Gal,07-06-2026,Line 1 – OTR -25 W/Wash
Propylene Glycol,PG-BULK,3000.625000000001,Gal,04-22-2026,Line 4 – Tote PG
Raw Ethylene Glycol,EG-RAW,1633.4799999999943,Gal,07-15-2026,Line 1 – Green Power 50
